,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,ionisable_nitrogens,num_nitrogens,longest_tail,num_branches,num_carbons,num_heavy_atoms,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,num_sp3_carbons,tail_branches
0,NC(=O)CN1CCC(N)CC1,1.0,0.0,0.0,1.0,157.2169952392578,0.8571428656578064,0.6363636255264282,1.0,3.0,3.0,3.0,7,11,0,0,0,1,6.0,0.0
1,NCc1cc(=O)[nH]c(O)n1,0.0,1.0,0.0,0.0,141.1300048828125,0.2000000029802322,0.5,1.0,3.0,2.0,3.0,5,10,0,0,0,0,1.0,0.0
2,Cn1nc(CN)cc1C(N)=O,0.0,1.0,0.0,1.0,154.17300415039062,0.3333333432674408,0.5454545617103577,2.0,4.0,3.0,3.0,6,11,0,0,0,0,2.0,0.0
3,CNCCNCCN,0.0,0.0,0.0,0.0,117.1959991455078,1.0,0.625,2.0,3.0,8.0,0.0,5,8,0,0,0,0,5.0,0.0
4,NC(=O)C1(N)CC(CO)C1,1.0,0.0,0.0,1.0,144.1739959716797,0.8333333134651184,0.6000000238418579,0.0,2.0,3.0,3.0,6,10,0,0,0,0,5.0,0.0
5,NCCn1nc(O)ccc1=O,0.0,1.0,0.0,0.0,155.15699768066406,0.3333333432674408,0.5454545617103577,1.0,3.0,3.0,3.0,6,11,0,0,0,0,2.0,0.0
6,NCCOCC(N)=O,0.0,0.0,0.0,1.0,118.13600158691406,0.75,0.5,0.0,2.0,7.0,1.0,4,8,0,0,0,0,3.0,0.0
7,CN(C)c1c(N)n(C)c(=O)[nH]c1=O,0.0,1.0,0.0,0.0,184.19900512695312,0.4285714328289032,0.5384615659713745,1.0,4.0,3.0,5.0,7,13,0,0,0,1,3.0,0.0
8,COC(=O)Cn1cc(CCN)nn1,0.0,1.0,1.0,0.0,184.19900512695312,0.5714285969734192,0.5384615659713745,3.0,4.0,4.0,3.0,7,13,0,0,0,0,4.0,0.0
9,NC(=O)C1(N)CCOCC1,1.0,0.0,0.0,1.0,144.1739959716797,0.8333333134651184,0.6000000238418579,0.0,2.0,3.0,2.0,6,10,0,0,0,0,5.0,0.0
10,Nc1nc(N2CCNCC2)cc(=O)[nH]1,1.0,1.0,0.0,0.0,195.2259979248047,0.5,0.5714285969734192,3.0,5.0,1.0,2.0,8,14,0,0,0,1,4.0,0.0
11,CCOCn1nnc(C(N)=O)c1N,0.0,1.0,0.0,1.0,185.18699645996097,0.5,0.4615384638309479,3.0,5.0,4.0,3.0,6,13,0,0,0,0,3.0,0.0
12,NCCCC(=O)NC(N)=O,0.0,0.0,0.0,3.0,145.16200256347656,0.6000000238418579,0.5,0.0,3.0,8.0,2.0,5,10,0,0,0,0,3.0,0.0
13,CNC(=O)c1noc(CN)n1,0.0,1.0,0.0,1.0,156.14500427246094,0.4000000059604645,0.4545454680919647,2.0,4.0,4.0,2.0,5,11,0,0,0,0,2.0,0.0
14,CN(CCN)CC(=O)N(C)C,0.0,0.0,0.0,1.0,159.23300170898438,0.8571428656578064,0.6363636255264282,1.0,3.0,8.0,3.0,7,11,0,0,0,1,6.0,0.0
15,CN(CCN)CCOCCO,0.0,0.0,0.0,0.0,162.23300170898438,1.0,0.6363636255264282,1.0,2.0,10.0,1.0,7,11,0,0,0,1,7.0,0.0
16,NC(=O)CC1(N)CCNCC1,1.0,0.0,0.0,1.0,157.2169952392578,0.8571428656578064,0.6363636255264282,1.0,3.0,3.0,3.0,7,11,0,0,0,0,6.0,0.0
17,NCc1nnc2n1CCNC2=O,1.0,1.0,0.0,1.0,167.1719970703125,0.5,0.5,3.0,5.0,2.0,2.0,6,12,0,0,0,0,3.0,0.0
18,Cc1nnn(CCN)n1,0.0,1.0,0.0,0.0,127.1510009765625,0.75,0.4444444477558136,4.0,5.0,3.0,2.0,4,9,0,0,0,0,3.0,0.0
19,NCc1nc(CO)n[nH]1,0.0,1.0,0.0,0.0,128.13499450683594,0.5,0.4444444477558136,3.0,4.0,2.0,2.0,4,9,0,0,0,0,2.0,0.0
20,NCCc1nnc2n1CCNCC2,1.0,1.0,0.0,0.0,181.2429962158203,0.75,0.6153846383094788,4.0,5.0,3.0,1.0,8,13,0,0,0,0,6.0,0.0
21,Nc1cc(C(=O)NCCO)[nH]n1,0.0,1.0,0.0,1.0,170.1719970703125,0.3333333432674408,0.5,2.0,4.0,6.0,2.0,6,12,0,0,0,0,2.0,0.0
22,NC1CN(CCO)C1,1.0,0.0,0.0,0.0,116.16400146484376,1.0,0.625,1.0,2.0,3.0,2.0,5,8,0,0,0,1,5.0,0.0
23,NC(=O)C1(N)CCNCC1,1.0,0.0,0.0,1.0,143.19000244140625,0.8333333134651184,0.6000000238418579,1.0,3.0,3.0,2.0,6,10,0,0,0,0,5.0,0.0
24,NCc1nc(=O)cc(O)[nH]1,0.0,1.0,0.0,0.0,141.1300048828125,0.2000000029802322,0.5,1.0,3.0,2.0,3.0,5,10,0,0,0,0,1.0,0.0
25,NCC(=O)N1CCC(C(N)=O)CC1,1.0,0.0,0.0,2.0,185.2270050048828,0.75,0.6153846383094788,0.0,3.0,4.0,2.0,8,13,0,0,0,0,6.0,0.0
26,NCCN(CCO)CCO,0.0,0.0,0.0,0.0,148.20599365234375,1.0,0.6000000238418579,1.0,2.0,7.0,1.0,6,10,0,0,0,1,6.0,0.0
