,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,longest_tail,num_branches,ionisable_nitrogens,num_nitrogens,num_carbons,num_heavy_atoms,num_sp3_carbons,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,tail_branches
0,[C-]#[N+]CC(=O)N(C)C,0.0,0.0,0.0,1.0,112.13200378417967,0.6000000238418579,0.625,6.0,2.0,0.0,2.0,5,8,3,0,0,0,0,2.0
1,[C-]#[N+]CC(=O)N1CCOCC1,1.0,0.0,0.0,1.0,154.16900634765625,0.7142857313156128,0.6363636255264282,5.0,1.0,0.0,2.0,7,11,5,0,0,0,0,1.0
2,[C-]#[N+]CC(=O)N1CCN(C)CC1,1.0,0.0,0.0,1.0,167.21200561523438,0.75,0.6666666865348816,5.0,2.0,1.0,3.0,8,12,6,0,0,0,1,1.0
3,[C-]#[N+]CC(=O)NC,0.0,0.0,0.0,1.0,98.1050033569336,0.5,0.5714285969734192,6.0,1.0,0.0,2.0,4,7,2,0,0,0,0,1.0
4,[C-]#[N+]CC,0.0,0.0,0.0,0.0,55.08000183105469,0.6666666865348816,0.75,4.0,0.0,0.0,1.0,3,4,2,0,0,0,0,0.0
5,[C-]#[N+]CCOC,0.0,0.0,0.0,0.0,85.10600280761719,0.75,0.6666666865348816,6.0,0.0,0.0,1.0,4,6,3,0,0,0,0,0.0
6,[C-]#[N+]C(C)C(=O)OCC,0.0,0.0,1.0,0.0,127.14299774169922,0.6666666865348816,0.6666666865348816,7.0,2.0,0.0,1.0,6,9,4,0,0,0,0,2.0
7,[C-]#[N+]CC(=O)OC,0.0,0.0,1.0,0.0,99.08899688720705,0.5,0.5714285969734192,6.0,1.0,0.0,1.0,4,7,2,0,0,0,0,1.0
8,[C-]#[N+]CC(=O)N1CCCC1,1.0,0.0,0.0,1.0,138.1699981689453,0.7142857313156128,0.699999988079071,5.0,1.0,0.0,2.0,7,10,5,0,0,0,0,1.0
9,[C-]#[N+]C(C)C(=O)OC,0.0,0.0,1.0,0.0,113.11599731445312,0.6000000238418579,0.625,6.0,2.0,0.0,1.0,5,8,3,0,0,0,0,2.0
10,[C-]#[N+]CCCN1CCCC1=O,1.0,0.0,0.0,1.0,152.19700622558594,0.75,0.7272727489471436,5.0,2.0,0.0,2.0,8,11,6,0,0,0,0,1.0
11,[C-]#[N+]CCCN1CCOCC1,1.0,0.0,0.0,0.0,154.21299743652344,0.875,0.7272727489471436,5.0,1.0,1.0,2.0,8,11,7,0,0,0,1,1.0
12,[C-]#[N+]CCN1CCOCC1,1.0,0.0,0.0,0.0,140.18600463867188,0.8571428656578064,0.699999988079071,4.0,1.0,1.0,2.0,7,10,6,0,0,0,1,1.0
13,[C-]#[N+]/C(=C/N(C)C)C(=O)OC,0.0,0.0,1.0,0.0,154.16900634765625,0.4285714328289032,0.6363636255264282,7.0,3.0,1.0,2.0,7,11,3,1,0,1,1,3.0
14,[C-]#[N+]CC(=O)N1CCCCC1,1.0,0.0,0.0,1.0,152.19700622558594,0.75,0.7272727489471436,5.0,1.0,0.0,2.0,8,11,6,0,0,0,0,1.0
15,[C-]#[N+]C(CCC(=O)OC)C(=O)OC,0.0,0.0,2.0,0.0,185.1790008544922,0.625,0.6153846383094788,9.0,3.0,0.0,1.0,8,13,5,0,0,0,0,3.0
16,[C-]#[N+]C(CC)C(=O)OC,0.0,0.0,1.0,0.0,127.14299774169922,0.6666666865348816,0.6666666865348816,6.0,2.0,0.0,1.0,6,9,4,0,0,0,0,2.0
17,[C-]#[N+]CCC(=O)OCC,0.0,0.0,1.0,0.0,127.14299774169922,0.6666666865348816,0.6666666865348816,8.0,1.0,0.0,1.0,6,9,4,0,0,0,0,1.0
18,[C-]#[N+]CCCOC,0.0,0.0,0.0,0.0,99.13300323486328,0.800000011920929,0.7142857313156128,7.0,0.0,0.0,1.0,5,7,4,0,0,0,0,0.0
19,[C-]#[N+]/C(=C\N(C)C)C(=O)OC,0.0,0.0,1.0,0.0,154.16900634765625,0.4285714328289032,0.6363636255264282,7.0,3.0,1.0,2.0,7,11,3,1,0,1,1,3.0
20,[C-]#[N+]CC(=O)OCC,0.0,0.0,1.0,0.0,113.11599731445312,0.6000000238418579,0.625,7.0,1.0,0.0,1.0,5,8,3,0,0,0,0,1.0
21,[C-]#[N+]CCN(C)C,0.0,0.0,0.0,0.0,98.14900207519533,0.800000011920929,0.7142857313156128,6.0,1.0,1.0,2.0,5,7,4,0,0,0,1,1.0
22,[C-]#[N+]CCN1CCN(C)CC1,1.0,0.0,0.0,0.0,153.22900390625,0.875,0.7272727489471436,4.0,2.0,2.0,3.0,8,11,7,0,0,0,2,1.0
23,[C-]#[N+]C(C)C(=O)N1CCOCC1,1.0,0.0,0.0,1.0,168.1959991455078,0.75,0.6666666865348816,5.0,2.0,0.0,2.0,8,12,6,0,0,0,0,2.0
24,[C-]#[N+]C(CC(=O)OC)C(=O)OC,0.0,0.0,2.0,0.0,171.15199279785156,0.5714285969734192,0.5833333134651184,8.0,3.0,0.0,1.0,7,12,4,0,0,0,0,3.0
25,[C-]#[N+]CC(OC)OC,0.0,0.0,0.0,0.0,115.13200378417967,0.800000011920929,0.625,6.0,1.0,0.0,1.0,5,8,4,0,0,0,0,1.0
26,[C-]#[N+]CC1CCOC1,1.0,0.0,0.0,0.0,111.1439971923828,0.8333333134651184,0.75,3.0,1.0,0.0,1.0,6,8,5,0,0,0,0,1.0
27,[C-]#[N+]C1CCOC1,1.0,0.0,0.0,0.0,97.11699676513672,0.800000011920929,0.7142857313156128,2.0,1.0,0.0,1.0,5,7,4,0,0,0,0,1.0
28,[C-]#[N+]/C(=C\N(C)C)C(=O)OCC,0.0,0.0,1.0,0.0,168.1959991455078,0.5,0.6666666865348816,8.0,3.0,1.0,2.0,8,12,4,1,0,1,1,3.0
29,[C-]#[N+]CCOCC,0.0,0.0,0.0,0.0,99.13300323486328,0.800000011920929,0.7142857313156128,7.0,0.0,0.0,1.0,5,7,4,0,0,0,0,0.0
30,[C-]#[N+]C(OC)OC,0.0,0.0,0.0,0.0,101.1050033569336,0.75,0.5714285969734192,5.0,1.0,0.0,1.0,4,7,3,0,0,0,0,1.0
31,[C-]#[N+]C1COC1,1.0,0.0,0.0,0.0,83.08999633789062,0.75,0.6666666865348816,2.0,1.0,0.0,1.0,4,6,3,0,0,0,0,1.0
